,Titel van het Recept,Ingredienten,Website URLS
168,Chimichurri salade met biefstuk,"['2 stukken biefstuk', '2  kleine kropjes romaine sla', '450 gr aardappelpartjes', '1  avocado', '250 gr cherrytomaatjes']",https://www.leukerecepten.nl/recepten/chimichurri-salade-biefstuk/
169,Enchilladas van courgette,"['2  courgettes', '300 gr kipfilet', '1 eetlepel taco of enchilada kruiden', '1  paprika', 'handje geraspte kaas', '1  ui', '2  tenen knoflook', '140 gr mais', '1  bosui', '125 ml zure room', '200 ml tomatensaus (passata)']",https://www.leukerecepten.nl/recepten/enchiladas-van-courgette/
170,Kip in Parmaham met courgette,"['150 gr pasta', '125 ml creme fraiche', '2 eetlepels pesto', '1  kleine courgette', '1  ui', '1  knoflook', '200 gr kip', '6  plakken parmaham', '2 eetlepels pijnboompitten', '125 gr tomaatjes', 'verse basilicum']",https://www.leukerecepten.nl/recepten/kip-in-parmaham-met-courgette/
171,Zoete aardappel met Italiaanse vulling,"['4 middelgrote zoete aardappels', '50 gr rucola', '2 eetlepels pesto', '4  plakjes parmaham', '10  cherrytomaatjes', '2 eetlepels parmezaan vlokken', '1 eetlepel pijnboompitten (geroosterd)']",https://www.leukerecepten.nl/recepten/zoete-aardappel-italiaanse-vulling/
172,Couscous met Marokkaanse balletjes,"['300 gr rundergehakt', '1 eetlepel ras el hanout (Green Gypsy)', '1  ei', '3 eetlepels paneermeel', '200 gr geroosterde groenten', '125 gr champignons', '1 eetlepel amandel (grof gehakt)', '150 gr couscous', '½   bouillonblokje', '100 ml yoghurt', 'scheutje olijfolie', 'Peterselie of munt om te garneren']",https://www.leukerecepten.nl/recepten/couscous-marokkaanse-gehaktballetjes/
173,Regenboog summerrolls met pindasaus,"['12  rijstvellen', '½  komkommer', '1  kropje little gem sla', '3 eetlepels gehakte pinda’s', '50 gr wortel (peen julienne)', '1  limoen', '1  mango', '6  radijsjes']",https://www.leukerecepten.nl/recepten/regenboog-summerrolls-pindasaus/
174,Aardappelroerbak met champignons,"['450 gr aardappelpartjes met kruiden', '1  courgette', '50 gr feta', '125 gr champignons (in plakjes)', '1  rode ui', 'Verse peterselie om te garneren']",https://www.leukerecepten.nl/recepten/aardappelroerbak-met-champignons/
175,Noedel bowl met zalm,"['2 stukken zalm (285 gr.)', '2  wortels', '100 gr noedels', '1  limoen', '75 gr taugé', '½   komkommer', 'Scheutje ketjap', '1 theelepel sesam', 'peper en zout', 'bosje koriander', '175 gr mango']",https://www.leukerecepten.nl/recepten/noedel-bowl-zalm/
176,Kip shoarma bowl,"['300 gr kipreepjes', '1 eetlepel shoarmakruiden', '½   komkommer', '1  avocado', '2  pitabroodjes', '1  kleine courgette', '125 gr cherrytomaatjes', 'Handje ijsbergsla']",https://www.leukerecepten.nl/recepten/kip-shoarma-bowl/
177,Mexicaanse zoete aardappel salade,"['16  cherrytomaatjes', ""½ komkommer of 2 mini's"", '1  avocado', '75 gr slamelange', '100 gr quinoa', 'Optioneel: 2 gegrilde maïskolven']",https://www.leukerecepten.nl/recepten/mexicaanse-zoete-aardappel-salade/
178,Gado gado burger,"['4  hamburger broodjes', '4  eieren', '100 gr taugé', '½   komkommer', 'Gebakken uitjes om te garneren', '100 gr peen julienne', '4  vegaburger’s']",https://www.leukerecepten.nl/recepten/gado-gado-burger/
179,Zalmrisotto met mangosalsa,"['300 gr risottorijst', '150 ml witte wijn', '1  ui', '1  rode paprika', '1  mango', '1  avocado', '1   lente ui', '4 handjes rucola', '1 liter water', '1  groentebouillonblokje', '4  zalmmoten', 'Scheutje  olijfolie', '1  limoen', '2 theelepels limoensap', '2 teentjes knoflook', 'peper en zout']",https://www.leukerecepten.nl/recepten/zalmrisotto-met-mangosalsa/
180,Gevulde aubergines met gehakt,"['3  aubergine’s', '300 gr gehakt', '1  ui', '1  knoflook', 'snuf kaneel', 'Snuf oregano', 'handje geraspte kaas', '400 ml tomatenblokjes', '15  olijven', 'Verse peterselie om te garneren']",https://www.leukerecepten.nl/recepten/gevulde-aubergines-gehakt/
181,Chinese tomatensoep met kip,"['750 g roma tomaten', '600 ml water', '1  blokje kippenbouillon', '1  klein blikje tomatenpuree', '1  teen knoflook', '1  ui', '1 eetlepel suiker (naar smaak)', '2 eetlepels ketjap', '2 eetlepels azijn', '½ theelepel sambal', '2 cm gember', '50 gr noedels', '250 gr kip', '2  bosuien', '100 gr taugé']",https://www.leukerecepten.nl/recepten/chinese-tomatensoep-kip/
182,Filodeeg taart met broccoli,"['5  vellen filodeeg (diepvries)', '400 gr broccoli', '3  eieren', '200 ml melk', '50 gr kaas', '1 theelepel italiaanse kruiden', 'peper en zout', '125 gr cherrytomaatjes', '150 gr ham reepjes', 'boter (om in te vetten)']",https://www.leukerecepten.nl/recepten/filodeeg-taart-broccoli/
183,Vegetarische groentelasagne,"['12  vellen lasagne', '2  mozzarella bollen', '2  kleine courgettes', '1 pot  gegrilde paprika á 295 gr', '250 gr champignons', '500 ml tomatensaus', '1  ui', '2 teentjes knoflook', '1  blikje tomatenpuree', '1 theelepel suiker', '1 theelepel italiaanse kruiden', 'peper en zout', 'handje geraspte kaas']",https://www.leukerecepten.nl/recepten/vegetarische-groentelasagne/
184,Quesadilla’s met gehakt,"['300 gr gehakt', '3  grote wraps', '3 eetlepels mais', '1  paprika', '½ theelepel paprikapoeder', '½ theelepel komijn', 'snuf chili', 'snuf peper en zout', 'Snuf oregano', 'handje geraspte kaas', 'jalapeno naar smaak', 'zure room']",https://www.leukerecepten.nl/recepten/quesadillas-met-gehakt/
185,Biefstuk roerbak met nectarine,"['230 gr biefstuk in reepjes', '2  verse nectarines (of perzik)', '1  grote puntpaprika', '125 gr meergranenrijst', '2 cm gember', '1  teen knoflook', '1 eetlepels limoen', '2 eetlepels sojasaus (kikkoman)', '1 eetlepel olijfolie', '1 eetlepel honing', 'Sesamzaadjes om te garneren']",https://www.leukerecepten.nl/recepten/biefstuk-roerbak-nectarine/
186,Salade met kiwi en kip,"['1  grote kipfilet', '1 theelepel cajunkruiden', ""2  kiwi's"", '75 - 100 gr sla', '50 gr geitenkaas', '2 eetlepels pecan nootjes', '4  radijsjes']",https://www.leukerecepten.nl/recepten/salade-kiwi-en-kip/
187,Koolrolletjes met geitenkaas,"['8  bladeren chinese kool', '200 gr geitenkaas', '50 gr walnoten', '250 gr champignons (in plakjes)', 'snufje tijm', 'peper en zout']",https://www.leukerecepten.nl/recepten/koolrolletjes-met-geitenkaas/
188,Mexicaanse plaattaart,"['6  plakjes deeg voor hartige taart (vriezer)', '250 gr kip', '2 eetlepels Mexicaanse kruiden', '1  paprika', '140 gr mais', '1  avocado', '75 gr geraspte kaas', '2  bosuien', '1  potje tacosaus']",https://www.leukerecepten.nl/recepten/mexicaanse-plaattaart/
189,Falafel burger met gegrilde paprika,"['400 gr kikkererwten', '1  ei', '50 gr bloem', '1 theelepel komijn', '1  sjalot', '1  teen knoflook', '1 theelepel citroensap', 'Snufje chili', 'Paar takjes verse peterselie', 'peper en zout', '3  broodjes', '2  gegrilde paprika’s uit pot', '1  mini komkommer of ⅓ grote komkommer', '50 gr feta', 'Handje rucola']",https://www.leukerecepten.nl/recepten/falafel-burger-met-gegrilde-paprika/
190,Ajam paniki met ananas,"['250 gr kip in stukjes', '150 gr rijst', '200 gr ananas', '400 gr boontjes', '1  stengel sereh (citroengras)', '100 ml kokosmelk', 'kroepoek']",https://www.leukerecepten.nl/recepten/ajam-paniki-ananas/
191,Caesar salade met pittige garnalen,"['1  krop romaine sla', '2  pistoletjes of mini ciabatta of oud brood', '2  eieren', '1  avocado', '2 eetlepels parmezaanse kaas', '125 gr cherrytomaatjes', '200 gr garnalen', 'Snuf cayenne']",https://www.leukerecepten.nl/recepten/caesar-salade-pittige-garnalen/
192,Risotto met witte asperges en zalm,"['300 gr risotto', '500 gr witte asperges (ongeschild)', '30 gr boter', '1 liter warme groentebouillon', '75 gr rucola', 'Scheutje droge witte wijn', '3  bosuien', '1  ui', '75 gr parmezaanse kaas', '200 gr gerookte zalm']",https://www.leukerecepten.nl/recepten/risotto-witte-asperges-en-zalm/
193,Pita pizza met chorizo en geitenkaas,"['5  pitabroodjes', '75 gr chorizo', 'stuk harde geitenkaas (of zachte)', '1 blikje tomatenpuree', 'handje cherrytomaatjes', '1/2  courgette']",https://www.leukerecepten.nl/recepten/pita-pizza-met-chorizo-en-geitenkaas/
194,Loempia’s uit de oven,"['18  loempiavellen (of filodeeg)', '75 gr mihoen', '400 gr Chinese wokgroenten', '1  rode peper', '2 eetlepels sojasaus', '2  tenen knoflook', '1  ei', 'Snuf kerriepoeder', '2 eetlepels zonnebloemolie', '1 eetlepel wokolie', '200 gr hamreepjes']",https://www.leukerecepten.nl/recepten/loempias-uit-de-oven/
195,Pompoen rijstsalade,"['400 gr pompoen', '250 gr rijst', '1  aubergine', 'Handje pompoenpitten', '150 gr feta', '1 eetlepel olijfolie']",https://www.leukerecepten.nl/recepten/pompoen-rijstsalade/
196,Spaghetti met pesto en gehaktballetjes,"['300 gr pasta', '125 ml creme fraiche', '2  kleine courgette’s of 1 grote', '250 gr cherrytomaatjes', '3 eetlepels pesto', '500 gr gehakt', '1  ei', '4 eetlepels paneermeel', 'Snuf oregano', 'snuf peper en zout', '2 eetlepels pijnboompitten (geroosterd)', '1  teen knoflook', 'olie of boter om te bakken', 'Verse basilicum om te garneren']",https://www.leukerecepten.nl/recepten/spaghetti-pesto-en-gehaktballetjes/
197,Romige rijstschotel met kip,"['400 gr kipfilet of kippendijen', '400 gr champignons', '3  bosuien', ""2  paprika's"", '200 gr rijst', '300 ml kippenbouillon (van tablet)', '1 theelepel mosterd', '2 eetlepels boter', '2 eetlepels bloem', '125 ml creme fraiche (light)', '40 gr geraspte kaas', '25 gr paneermeel', 'olie of boter om te bakken']",https://www.leukerecepten.nl/recepten/romige-rijstschotel-met-kip/
198,Sla wraps met vega balletjes en satésaus,"['1  klein kropje sla of mini romaine', '1 gr bakje vegaballetjes a 225', '100 gr taugé', '150 gr rijst', 'Verse koriander om te garneren', '1 eetlepels Pinda’s om te garneren']",https://www.leukerecepten.nl/recepten/sla-wraps-vega-balletjes-en-satesaus/
199,Couscous met gegrilde zalm en groenten,"['300 gr couscous', '4 stukken zalm', '1  courgette', '1  aubergine', '200 gr bimi', '4  tomaten', '2  citroenen', 'olijfolie', 'peper en zout', ' tzatzikisaus (kant en klaar of volgens dit recept )', 'peterselie']",https://www.leukerecepten.nl/recepten/quinoa-gegrilde-zalm-en-groenten/
200,Pita met linzenkoekjes en muntsaus,"['6  grote (spelt) pita’s', '800 gr linzen uit blik', 'Snuf cayennepeper', 'Snuf komijn', 'Snuf knoflookpoeder', '150 gr feta', '1  klein ei', '4 eetlepels paneermeel', '1  komkommer', '100 gr sla', '170 gr griekse of turkse yoghurt', '2 eetlepels citroensap', 'Paar  muntblaadjes']",https://www.leukerecepten.nl/recepten/pita-linzenkoekjes-en-muntsaus/
201,Ovenschotel met aardappel en falafel,"['450 gr aardappelschijfjes', '1  teen knoflook', '200 gr prei (fijngesneden)', '8  balletjes falafel (kant en klaar)', '1  (punt)paprika', '15 gr bloem', '250  melk', '15 gr boter', '125  creme fraiche', 'handje geraspte kaas']",https://www.leukerecepten.nl/recepten/ovenschotel-met-aardappel-en-falafel/
202,Hartige taart met groenterolletjes,"['1  rol super croissantdeeg (of bladerdeeg)', '1  courgette', '1  grote wortel', '250 gr ricotta', '3  eieren', 'Snuf Italiaanse kruiden', 'Boter of olie om te vetten', 'Bakpapier', 'bakvorm of quichevorm', 'steunvulling', 'Kaasschaaf of mandoline']",https://www.leukerecepten.nl/recepten/hartige-taart-groenterolletjes/
203,Portobello met couscous,"['6  portobello’s', '150 gr couscous', 'bosje peterselie', '40 gr amandel', '10  gedroogde tomaatjes op olie', '125 gr geitenkaas', '½   bouillonblokje', 'Handje sla', '1  aubergine', 'Scheut olie']",https://www.leukerecepten.nl/recepten/portobello-met-couscous/
204,Jachtschotel met stoofvlees,"['1000 gr sukadelappen', '400 ml runderbouillon (van blokje)', '2 eetlepels azijn', '1 theelepel suiker', '2 blaadjes laurier', '2  kruidnagels', '2 eetlepels bloem', 'Klont boter', '1  klein blikje tomatenpuree', '1  grote zure appel', '2  uien', '400 gr wortel', '250 gr champignons', 'snuf kaneel', '800 gr aardappelpuree']",https://www.leukerecepten.nl/recepten/jachtschotel-met-stoofvlees/
205,Zoete aardappel met taco vulling,"['1 kg zoete aardappels (4 middelgrote)', '1  avocado', '175 gr vegetarisch gehakt', '4 eetlepels mais', '1  kleine rode ui', '4 eetlepels geraspte kaas', '1 theelepel taco kruiden', '125 ml zure room als strepen', '10  cherry tomaatjes', 'scheutje olie', 'peper en zout', 'Optioneel: schijfjes jalapeño peper']",https://www.leukerecepten.nl/recepten/zoete-aardappel-taco-vulling/
206,Ravioli lasagne bolognese,"['250 gr ravioli (bv met paddestoelen of kaas vulling)', '300 gr gehakt', '390 ml tomatensaus met kruiden', 'Handje geraspte mozzarella', '1  courgette', '250 gr ricotta']",https://www.leukerecepten.nl/recepten/ravioli-lasagne-bolognese/
207,Kip fajita’s,"['8  mini wraps', '500 gr kip in reepjes', ""3  paprika's"", '1  jalapeño peper (naar smaak)', '2  rode uien', '2 eetlepels limoensap', 'Zure room voor erbij', 'Guacamole voor erbij']",https://www.leukerecepten.nl/recepten/kip-fajitas/
208,Vegetarische cannelloni,"['12  vellen verse lasagne vellen', '1  paprika', '1  courgette', '1  ei', '125 gr champignons', '250 gr ricotta', '100 gr geraspte mozzarella kaas', '1  blikje tomatenpuree', '400 ml tomatenblokjes', '1  ui', '2  tenen knoflook', '1 theelepel Italiaanse kruiden', 'peper en zout']",https://www.leukerecepten.nl/recepten/vegetarische-cannelloni/
209,Schnitzel caprese met courgetti,"['4  gepaneerde schnitzels', '1  bol mozzarella', '2  tomaten', '3 gr courgettes (of 800 gr kant en klare courgetti)', '2  tenen knoflook', 'verse basilicum', '2 eetlepels pijnboompitten', 'peper en zout']",https://www.leukerecepten.nl/recepten/schnitzel-caprese-courgetti/
210,Mexicaanse huaraches met salsa,"['120 gr maismeel', '7 gr olie of vloeibare margarine', 'Snuf zout', '50 ml water', '4 eetlepels refried beans', '1  avocado (in plakjes)', '70 gr mais', '2  tomaten', '5 gr peterselie', '1 eetlepel limoensap', '1/2  jalapeño peper', 'peper en zout']",https://www.leukerecepten.nl/recepten/mexicaanse-huaraches-met-salsa/
211,Toad in the hole,"['175 gr bloem', '3  eieren', 'Tijm', '200 ml melk', 'Peper en zout', '4  worsten (400 gr)', '2  uien', '2 eetlepels balsamico azijn', 'Boter om te bakken']",https://www.leukerecepten.nl/recepten/toad-the-hole/
212,"Grieks pannetje met pitabrood, feta en tzatziki","['2  rode uien', '2 teentjes knoflook', '500 gr gehakt', '1  rode paprika', '2 blikken tomatenblokjes', '400 gr kikkererwten', '4  pitabroodjes', 'verse peterselie', '100 gr fetakaas', 'peper en zout', 'olijfolie', ' tzatzikisaus (volgens dit recept of kant-en-klaar  )']",https://www.leukerecepten.nl/recepten/grieks-pannetje-met-pitabrood-feta-en-tzatziki/
213,Pasteitjes met stoofvlees,"['300 gr sukadelappen of riblappen', '150 ml runderbouillon', '1 eetlepel azijn', '1 theelepel suiker', '1  blaadje laurier', '1  ui', '100 gr wortel', '125 gr champignons (in plakjes)', '½ eetlepel bloem', '1 eetlepel tomatenpuree', '15  vellen bladerdeeg of hartig taart deeg', '1  ei']",https://www.leukerecepten.nl/recepten/pasteitjes-met-stoofvlees/
214,Koolrabi ovenschotel,"['500 gr koolrabi (1 knol)', '450 gr puree', '1  appel', '125 gr spekblokjes', '125 ml kookroom', 'Ovenschaal']",https://www.leukerecepten.nl/recepten/koolrabi-ovenschotel/
215,Gehaktballetjes in roomsaus met champignons,"['500 gr half om half gehakt', '3 eetlepels paneermeel', '1  ei', '1 theelepel gedroogde peterselie', '50 gr bloem', '50 gr boter', '1  sjalot', '250 gr champignons (in plakjes)', '200 ml creme fraiche', '400 ml bouillon', 'peper en zout']",https://www.leukerecepten.nl/recepten/gehaktballetjes-in-roomsaus-met-champignons/
216,Noedelsoep met tempé,"['1 liter groentebouillon', '2 cm gember', '1 eetlepel sojasaus', '180 gr tempeh ketjap roerbakstukjes', '100 gr taugé', '200 gr sperzieboontjes', '200 gr paddenstoelen', '125 gr noedels', '2  bosuien', '1 theelepel sesam']",https://www.leukerecepten.nl/recepten/noedelsoep-met-tempe/
217,Kipsalon met zoete aardappel,"['2  zoete aardappels', '300 gr kip in blokjes', '2 theelepels shoarmakruiden', '10  cherrytomaatjes', '½   komkommer of 2 mini’s', 'Handje ijsbergsla', 'handje geraspte kaas', '170 ml Griekse yoghurt', '1  teen knoflook', 'peper en zout', '1 eetlepel olijfolie']",https://www.leukerecepten.nl/recepten/kipsalon-zoete-aardappel/
218,Vegetarische aubergine stoof,"['2  aubergines', '1  klein blikje tomatenpuree', '1 theelepel komijn', 'Snuf paprikapoeder', '1  ui', '2  tenen knoflook', '2  tomaten (ontveld)', 'Peper en zout', 'Griekse of Turkse yoghurt', '1 eetlepel amandelschaafsel', 'Optioneel: ½ chilipeper']",https://www.leukerecepten.nl/recepten/vegetarische-aubergine-stoof/
219,Salade met gerookte kip en spekjes,"['150 gr slamelange', '10  cherrytomaatjes', '1  gerookte kipfilet (ca. 175 gr)', '125 gr spekjes', '150 gr mozzarellaballetjes', '1  groene appel', 'handje walnoten']",https://www.leukerecepten.nl/recepten/salade-gerookte-kip-en-spekjes/
220,Taco’s met zoete aardappel,"[""12  taco's"", '400 gr zoete aardappel', '2 eetlepels olijfolie', 'Snuf komijn', 'snuf paprikapoeder', '1  klein blikje mais', '200 gr gehakt', '100 ml tomatensaus', 'peper en zout', '100 gr cherrytomaatjes', '1  avocado', 'Handje kaas', '1  limoen', '125 ml zure room', 'Optioneel: verse koriander']",https://www.leukerecepten.nl/recepten/tacos-zoete-aardappel/
221,Boerenkoolquiche,"['200 gr verse gesneden boerenkool', '6  plakjes bladerdeeg', '1 eetlepel paneermeel', '4  eieren', '150 ml room', '50 gr oude kaas geraspt', '125 gr spekjes', '1  tomaat']",https://www.leukerecepten.nl/recepten/boerenkoolquiche/
222,Plaattaart met witlof en gerookte zalm,"['300 gr witlof', '260 gr flammkuchen deeg', '1 theelepel honing', '125 gr roomkaas', '50 gr rucola', '200 gr gerookte zalm', 'in boter (om in te bakken)']",https://www.leukerecepten.nl/recepten/plaattaart-witlof-en-gerookte-zalm/
223,Pasta boerenkoolpesto met rookworst,"['250 gr pasta', '375  rookworst', '125 gr ricotta', '3 eetlepels walnoten', '15  cherrytomaatjes']",https://www.leukerecepten.nl/recepten/pasta-boerenkoolpesto-rookworst/
224,Broccolistamppot met gepaneerde speklapjes,"['400 gr broccoli', '600 gr aardappels (kruimig)', 'Scheut warme melk', 'Klont boter', '50 gr geitenkaas', '2 eetlepels walnoten', '4  speklapjes', 'Bordje paneermeel', '1  ei', '1 theelepel mosterd', '1  bordje bloem', 'snuf paprikapoeder']",https://www.leukerecepten.nl/recepten/broccolistamppot-gepaneerde-speklapjes/
225,Andijviestamppot met gerookte kip,"['600 gr aardappels (kruimig)', '400 gr fijngesneden andijvie', '200 gr gerookte kip', 'Scheut warme melk', '8  gedroogde tomaatjes', 'Handje pijnboompitten', 'peper en zout']",https://www.leukerecepten.nl/recepten/andijviestamppot-gerookte-kip/
226,Zuurkoolstamppot met ananas,"['1  kilo aardappels (kruimig en geschild)', '500 gr zuurkool naturel', '2  kleine handjes rozijnen', '250 gr spekjes', '425 gr ananasschijven in blik + sap', 'peper en zout']",https://www.leukerecepten.nl/recepten/zuurkoolstamppot-met-ananas/
227,Hutspot met pittige rookworst roerbak,"['500 gr hutspot groenten (of 400 gr wortel en 1 grote ui)', '500 gr aardappels (kruimig)', '1 eetlepel nasikruiden', 'Klontje boter', '275 gr rookworst', '1  rode peper', '1 eetlepel ketjap', '1  uitje', 'Snuf gember']",https://www.leukerecepten.nl/recepten/hutspot-pittige-rookworst-roerbak/
228,Mexicaanse stamppot met bonen,"['500 gr kruimige aardappelen (geschild)', '1  rode paprika', '150 gr mais', '200 gr kidneybonen', '1 theelepel komijn', '1,5 theelepel paprikapoeder', '100 ml warme melk', 'peper en zout', 'boter']",https://www.leukerecepten.nl/recepten/mexicaanse-stamppot-bonen/
229,Thaise courgette noedels met omeletrol,"['2  niet al te grote courgettes of 1 bak courgetti a 400 gr', '1  uitje', '1 eetlepels gembersiroop', '2 eetlepel sojasaus', '1 eetlepel oestersaus', '1  rode peper', '1  bosui', '100 gr Shiitake (of champignons)', 'scheutje olie (sesam)', '150 gr wortel in plakjes', '60 gr cashewnoten (ongezouten)', '3  eieren', 'peper en zout', '1 theelepel sesamzaadjes']",https://www.leukerecepten.nl/recepten/thaise-courgette-noedels-omeletrol/
230,Gezonde quiche met spinazie,"['400 gr speltmeel', '5  eieren', '200 ml water', '500 gr magere kwark', '1 theelepel italiaanse kruiden', '450 gr spinazie (diepvries)', '1  bol mozzarella', '2  tenen knoflook', '6  tomaatjes', 'snufje zout']",https://www.leukerecepten.nl/recepten/gezonde-quiche-spinazie/
231,Ovenschotel met feta en aubergine,"['300 gr rundergehakt', '400 ml tomatenblokjes', '1 theelepel italiaanse kruiden', '100 gr feta', '1 eetlepel tomatenpuree', '1  aubergine', '1  ui', '1 teen knoflook', 'Pitabrood om er bij te serveren']",https://www.leukerecepten.nl/recepten/ovenschotel-feta-en-aubergine/
232,Pompoencurry met linzen,"['800 gr pompoen in blokjes', '1 blik linzen a 400 gr', '1  ui', '½   potje indiase curry pasta a 165 gr (vegan)', '400 ml kokosmelk', '2  tomaten', 'Olie of margarine om in te bakken', 'handje cashewnoten (ongezouten)', '200 gr verse spinazie']",https://www.leukerecepten.nl/recepten/pompoencurry-met-linzen/
233,Groentefriet met zalm uit de oven,"['600 gr groentefriet (1 zak of zelf gesneden)', '3 eetlepels olie', 'peper en zout', '300 gr zalm', 'Handje pistachenoten (ongezouten)', '4 eetlepels Griekse yoghurt', '2 eetlepels citroensap', 'Snuf dille']",https://www.leukerecepten.nl/recepten/groentefriet-zalm-oven/
234,Falafelbowl,"['8  tomaatjes', '150 gr couscous', '½  bouillonblokje', '200 gr falafel', 'Handje (baby) spinazie', '4 eetlepels rode kool (fijngesneden)', '50 gr feta', '250 gr zoete aardappel', '½  komkommer', '2 eetlepels hummus']",https://www.leukerecepten.nl/recepten/falafelbowl/
235,Gevulde courgette met aubergine,"['2  courgettes', '1/2  aubergine', '2  tenen knoflook', '1  ui', ' Margarine om in te bakken ', '1/2  rode peper', '5 gr verse peterselie', '1/2  groene paprika', '5 gr munt', '2  tomaten (in tomatenblokjes)', '1 eetlepel tomatenpuree', '100 gr zilvervlies rijst', 'peper en zout']",https://www.leukerecepten.nl/recepten/gevulde-courgette-met-aubergine/
236,Kip met cranberry uit de oven,"['4  kippendijen', '1  sinaasappel', '15 gr cranberry’s']",https://www.leukerecepten.nl/recepten/kip-cranberry-oven/
237,Ster ravioli met truffel,"['300 gr durum pastameel', '3  eieren', '1 eetlepel olijfolie', '250 gr paddenstoelen', '1  sjalotje', 'Olijfolie met truffelaroma', 'verse basilicum', '2 eetlepels parmezaanse kaas']",https://www.leukerecepten.nl/recepten/ster-ravioli-truffel/
238,Hartige strudel met kalkoen,"['12  vellen filodeeg (1 pak = 10 vellen)', '500 gr paddenstoelen', '300 gr kalkoen', '3  tenen knoflook', 'handje geraspte kaas', '1  ui', 'Klont boter', '1 theelepel peterselie', '2 eetlepels amandelschaafsel', 'peper en zout']",https://www.leukerecepten.nl/recepten/hartige-strudel-kalkoen/
239,Mini kerstboom pizza’s,"[' 8  plakjes hartige taartdeeg (of basisrecept voor pizzadeeg)', '75 gr pesto', '70 gr geitenkaas', '100 gr cherrytomaatjes', '1  groene paprika', 'handje geraspte kaas', 'peterselie']",https://www.leukerecepten.nl/recepten/mini-kerstboom-pizzas/
240,Mini gehaktbroodjes met aardappeltoef,"['500 gr rundergehakt of half om half', '1  ui', '100 gr bleekselderij', '100 gr wortel', 'peper en zout', '1 theelepel mosterd', '1 eetlepel ketchup', '1 theelepel worcestersaus', '1  ei', '25 gr paneermeel', '1  zakje voor aardappelpuree', 'Verse bieslook', 'Olie of boter om in te vetten']",https://www.leukerecepten.nl/recepten/mini-gehaktbroodjes-aardappeltoef/
241,Varkenshaas met spek en appel,"['300 gr varkenshaas', '1 eetlepel honing', '1 theelepel mosterd', '1 theelepel tijm', '7  plakken ontbijtspek', '2  appels', 'snuf kaneel']",https://www.leukerecepten.nl/recepten/varkenshaas-spek-en-appel/
242,Witlofstamppot met appel,"['600 gr aardappels (kruimig)', ' 2 stronken witlof ', 'Klont boter', '125 gr spekreepjes', '1  appel', 'Snufje nootmuskaat', '1 theelepel mosterd', '50 gr geraspte kaas']",https://www.leukerecepten.nl/recepten/witlof-stamppot-appel/
243,Kabeljauw ovenschotel met kerrie,"['200 gr fijngesneden prei', '450 gr krieltjes', '1 theelepel kerriepoeder', '200 ml kookroom (light)', '225 gr kabeljauwhaasjes (2 stuks (ontdooid)', '150 gr peen julienne', '1  ei']",https://www.leukerecepten.nl/recepten/kabeljauw-ovenschotel-met-kerrie/
244,Pizza met mosselen,"[' 1  pizza bodemmix a 450 gr of dit basisrecept', '200 ml pizzasaus', '200 gr mosselen (en garnalen) (gekookt)', '2  bollen mozzarella', 'Verse blaadjes basilicum', 'Snuf chilivlokken', '2 eetlepels kappertjes', '100 gr gedroogde tomaatjes']",https://www.leukerecepten.nl/recepten/pizza-met-mosselen/
245,Portobello met pompoen risotto,"['1  ui', '150 gr risottorijst', '75 gr parmezaanse kaas', '400 gr pompoen (in blokjes)', '1 theelepel salie (vers)', '500 ml groentebouillon', '200 gr spinazie', '6  portobello’s', 'Scheut droge witte wijn']",https://www.leukerecepten.nl/recepten/portobello-pompoen-risotto/
246,Frittata met broccoli,"['6  eieren', 'peper en zout', '125 ml creme fraiche', '200 gr broccoli (in roosjes)', 'handje geraspte kaas', '150 gr cherrytomaatjes', '100 gr feta', 'Paar blaadjes basilicum']",https://www.leukerecepten.nl/recepten/frittata-met-broccoli/
247,Courgetti ovenschotel met feta,"['2  kleinere courgettes of 400 gr kant en klare courgetti', '1  blik tomatenblokjes (a 400 gr )', '100 gr feta of witte kaas', '1  ui (gesnipperd)', '2  tenen knoflook (fijngesneden)', '125 gr spekreepjes', 'handje walnoten (grof gehakt)', 'italiaanse kruiden', 'snuf paprikapoeder']",https://www.leukerecepten.nl/recepten/courgetti-ovenschotel-met-feta/
248,Vegan quiche met paddenstoelen,"['200 gr gemengde paddenstoelen', '5 gr tijm', '200 gr spinazie', '230 gr hartig taartdeeg (of 5 plakjes)', '1  ui', '3  tenen knoflook', '650 gr tofu', '1 theelepel kurkuma', '2 theelepel vollemosterd', '2 eetlepels soja melk', '3 eetlepels citroensap', 'zout', '1 eetlepel pijnboompitten', '150 gr cherrytomaatjes (gehalveerd)', 'Margarine om in te vetten']",https://www.leukerecepten.nl/recepten/vegan-quiche-met-paddenstoelen/
249,Gevulde portobello’s met mexicaanse vulling,"['4  portobello', '1  klein blikje mais', '1  klein blikje kidneybonen', '1  kleine rode ui', '50 gr geraspte mozzarella kaas', '125 ml tomatensaus', 'Snuf komijn', 'Snuf gerookt paprikapoeder', 'Klein snufje chili', '125 ml zure room', 'Verse koriander of peterselie']",https://www.leukerecepten.nl/recepten/gevulde-portobellos-mexicaanse-vulling/
250,Pasta met groenten en hüttenkäse,"['300 gr pasta', '1  courgette', '1  paprika', '1  uitje', '200 gr Shiitake (of champignons)', '125 gr tomaatjes', '400 gr tomatensaus met Italiaanse kruiden', 'Handje rucola', '8 eetlepels hüttenkäse', '4  plakken parmaham']",https://www.leukerecepten.nl/recepten/pasta-groenten-en-huttenkase/
