,Titel van het Recept,Ingredienten,Website URLS
29,Indonesische gado gado,"['300 gr witte rijst', '4  eieren (gekookt)', '1  komkommer', '500 gr sperziebonen', '250 gr taugé', '1 zak  cassave kroepoek', '2 eetlepels gebakken uitjes', 'olie', '250 gr tempeh (of tofu)', '1 eetlepel bruine basterdsuiker']",https://www.leukerecepten.nl/recepten/gado-gado-rijst/
30,Pastaschotel met salami,"['120 gr salami (boterham beleg)', '250 gr pasta', '1  paprika', '1  courgette', '1  bol mozzarella', 'handje geraspte kaas', '400 ml gezeefde tomatensaus', '½ eetlepel italiaanse kruiden', 'basilicum']",https://www.leukerecepten.nl/recepten/pastaschotel-met-salami/
31,Couscous met broccoli en zoete aardappel,"['250 gr parelcouscous', '500 gr broccoli', '500 gr zoete aardappel', '1  zak linzen', '125 gr geitenkaas', 'handje walnoten', '1  rode paprika', 'Flinke snuf paprikapoeder', 'peper en zout', 'scheutje olie']",https://www.leukerecepten.nl/recepten/couscous-met-broccoli-en-zoete-aardappel/
32,Basisrecept risotto,"['300 gr risotto rijst', '75 gr geraspte Parmezaanse kaas', '150 ml droge witte wijn', '1 liter water', '1  blokje groentebouillon', '1  uitje', '1 teentje knoflook', 'Klont boter']",https://www.leukerecepten.nl/recepten/basisrecept-risotto/
33,Pitabroodje caprese,"['5  grote pitabroodjes', '2  kipfilets', '1 theelepel paprikapoeder', '1 theelepel italiaanse kruiden', '3  tomaten', 'Handje sla', 'verse basilicum', '1  maxi mozzarella (of 2 bollen)', '2 eetlepels pijnboompitten (geroosterd)']",https://www.leukerecepten.nl/recepten/pitabroodje-caprese/
34,Italiaanse wraptaart met mozzarella,"['8  middelgrote wraps', '2  bollen mozzarella (of 1 maxi mozzarella)', '1  paprika', '1  courgette', '1  uitje', '1  teen knoflook', '300 gr gehakt', '1 theelepel italiaanse kruiden', 'blaadjes Versebasilicum', '400 ml tomatensaus', '1 eetlepel tomatenpuree', '3 eetlepels pijnboompitten', 'handje geraspte kaas']",https://www.leukerecepten.nl/recepten/italiaanse-wraptaart-met-mozzarella/
35,Kip kerrie met bloemkoolrijst,"['400 gr bloemkoolrijst', '250 gr kip (in stukjes)', '200 gr broccoli (in roosjes)', '2 theelepels kerriepoeder', 'Snuf komijn', 'snuf gemberpoeder', 'snuf peper en zout', '125 ml kokosmelk', '1  ui', '½   rode peper', '2 eetlepel geschaafde amandel']",https://www.leukerecepten.nl/recepten/kip-kerrie-met-bloemkoolrijst/
36,Noedels met kip,"['250 gr noedels', '350 gr kippendijen', '200 gr peultjes', '1  paprika', '1  rode peper', '1  ui', '1  teen knoflook', '1  blik mini mais', '1  bosui', 'sesamzaadjes']",https://www.leukerecepten.nl/recepten/noedels-met-kip/
37,Pasta pesto met kip,"['300 gr pasta', '400 gr kipfilet (in stukjes)', '1  ui', '250 ml room', '250 gr cherry tomaatjes', 'peper en zout', 'scheutje olijfolie', '60 gr pijnboompitten (geroosterd)', 'Handje rucola', '4  eetlepels  pesto ( zelfgemaakte pesto of kant en klaar)']",https://www.leukerecepten.nl/recepten/pasta-pesto-met-kip/
38,Pitabroodje gezond,"['5  grote pitabroodjes (volkoren)', '2  kipfilets in blokjes', '1 eetlepel cajunkruiden', '15  cherrytomaatjes', '50 gr sla', 'Handje peen julliene', '½   komkommer']",https://www.leukerecepten.nl/recepten/pitabroodje-gezond/
